rainfall_1h,rainfall_3h,rainfall_6h,rainfall_12h,rainfall_24h,temperature,humidity,pressure,wind_speed,elevation_m,slope_deg,drainage_proximity_m,soil_saturation_pct,historical_flood_events,predicted_rainfall_6h_mm,rainfall_category,flood_probability,water_depth_m,flood_risk_level
9.8,19.0,37.5,53.5,92.5,27.0,69.5,996.0,39.5,38.2,8.3,75.1,57.4,1,92.2,HIGH,0.66,0.81,HIGH
0.2,0.6,1.2,2.0,2.8,35.6,73.4,1012.0,24.2,16.4,1.7,714.2,35.4,4,46.9,MODERATE,0.13,0.0,LOW
22.9,61.3,110.0,206.6,310.9,32.3,84.7,994.6,41.5,44.2,3.0,138.4,94.2,2,123.0,HIGH,0.98,1.32,CRITICAL
16.1,43.3,92.1,160.0,266.0,27.0,70.5,1006.8,39.9,2.0,0.4,1234.6,90.2,6,43.7,MODERATE,0.97,2.19,CRITICAL
22.6,47.9,74.6,112.9,152.3,26.1,77.7,988.3,44.8,19.9,15.0,466.8,79.5,5,110.1,HIGH,0.91,1.56,CRITICAL
18.6,41.9,87.6,148.2,248.6,23.4,77.3,993.7,41.9,11.6,6.4,208.6,92.4,5,114.1,HIGH,0.98,1.79,CRITICAL
8.3,16.2,33.7,65.9,89.3,29.0,66.4,1006.7,34.8,14.7,3.8,140.3,58.0,5,41.9,MODERATE,0.67,1.25,CRITICAL
4.9,12.8,22.2,39.2,69.0,33.5,65.2,1011.3,27.6,26.5,0.5,116.9,56.5,3,42.2,MODERATE,0.51,0.68,HIGH
8.6,20.3,34.8,63.7,91.7,29.8,74.6,1006.5,30.5,6.6,0.6,448.9,55.4,8,71.2,MODERATE,0.8,1.7,CRITICAL
13.0,28.8,49.4,79.1,125.5,31.7,73.7,1004.0,34.6,6.1,3.1,874.3,71.5,5,65.4,MODERATE,0.81,1.62,CRITICAL
7.3,14.6,30.1,45.5,61.9,26.5,65.2,1002.4,31.8,23.9,1.5,549.4,51.6,4,63.2,MODERATE,0.43,0.62,HIGH
4.9,13.1,27.3,42.4,60.8,31.0,85.4,992.4,44.7,15.3,3.7,699.2,49.9,3,108.4,HIGH,0.66,1.18,HIGH
4.3,10.1,17.5,30.1,45.2,28.5,75.0,998.9,39.2,6.8,3.5,592.8,41.2,6,83.3,MODERATE,0.55,0.96,HIGH
20.0,42.5,81.4,127.6,197.0,30.2,75.1,1001.1,49.9,13.9,6.7,1485.7,89.8,4,85.8,MODERATE,0.89,1.52,CRITICAL
0.1,0.2,0.3,0.5,0.7,31.7,68.7,1014.0,20.6,13.1,1.5,553.8,35.4,5,28.7,LOW,0.12,0.0,LOW
5.8,12.2,22.3,40.6,70.9,27.9,60.6,1007.9,40.6,23.2,3.3,104.7,50.3,6,55.8,MODERATE,0.56,0.79,HIGH
37.1,88.4,194.4,357.9,466.6,25.8,80.3,990.0,51.0,2.0,5.6,610.9,82.0,7,135.1,HIGH,0.98,2.09,CRITICAL
6.6,17.4,28.0,42.0,70.9,33.5,63.7,1007.8,24.7,17.9,2.7,162.7,46.3,4,54.9,MODERATE,0.58,1.12,HIGH
33.4,86.2,186.6,345.2,529.9,31.2,63.3,1001.7,41.1,18.8,6.5,2094.6,88.7,5,91.7,HIGH,0.98,1.82,CRITICAL
10.6,24.1,50.0,90.2,140.9,32.5,74.8,999.2,33.6,26.6,0.8,194.6,75.3,3,86.2,MODERATE,0.92,1.39,CRITICAL
0.3,0.7,1.4,2.0,2.8,32.2,76.9,1010.2,69.6,41.6,4.9,146.6,45.0,2,78.7,MODERATE,0.18,0.0,LOW
3.7,8.3,13.5,19.3,31.0,32.2,52.4,1013.8,34.9,12.4,10.3,118.9,43.3,5,33.5,LOW,0.26,0.0,LOW
1.3,2.8,4.7,8.4,13.1,27.4,62.1,1012.9,22.1,9.5,1.7,423.3,30.5,4,36.3,LOW,0.21,0.0,LOW
5.8,15.7,23.7,38.6,53.3,29.0,77.4,997.9,37.1,3.9,1.9,59.0,48.6,5,78.8,MODERATE,0.8,1.87,CRITICAL
2.9,6.3,12.6,18.8,26.6,30.3,71.2,1002.4,33.9,9.4,0.6,1181.4,48.6,4,83.7,MODERATE,0.32,0.5,MODERATE
1.8,3.9,7.5,10.8,14.4,35.9,65.7,1007.8,28.0,3.3,3.9,147.5,35.5,6,36.2,LOW,0.33,0.83,HIGH
1.6,4.2,6.8,10.2,13.6,33.5,55.4,1013.3,22.6,31.2,3.1,148.0,44.3,3,26.1,LOW,0.13,0.0,LOW
4.0,8.1,16.6,32.7,42.7,34.0,72.9,1000.9,34.6,31.6,0.4,32.9,47.6,3,65.9,MODERATE,0.45,0.32,MODERATE
6.7,16.8,28.7,52.8,74.4,32.0,66.0,1003.4,36.8,11.7,5.2,122.3,58.7,6,42.6,MODERATE,0.63,1.05,HIGH
13.6,36.0,57.5,98.6,161.7,27.6,65.1,995.6,38.4,7.4,6.5,221.3,88.8,5,88.4,MODERATE,0.97,2.06,CRITICAL
4.0,9.3,16.7,32.8,47.8,29.6,82.6,994.8,52.8,4.3,8.6,190.3,39.0,5,95.5,HIGH,0.7,1.32,CRITICAL
1.3,2.4,3.8,6.7,9.8,32.2,67.8,1011.9,33.7,36.3,3.1,136.2,42.2,1,46.4,MODERATE,0.14,0.0,LOW
3.1,6.9,11.6,21.3,29.1,29.9,59.6,1016.5,20.8,39.8,2.4,30.8,42.5,3,25.4,LOW,0.14,0.0,LOW
8.0,16.0,28.1,44.1,70.0,29.6,70.2,1004.4,43.3,7.6,7.6,150.9,49.5,6,77.8,MODERATE,0.74,1.65,CRITICAL
11.1,24.9,52.1,91.4,134.4,31.3,67.1,1013.5,20.9,19.5,2.1,587.5,71.5,4,57.1,MODERATE,0.79,1.31,CRITICAL
0.1,0.2,0.5,0.7,1.2,35.1,67.2,1008.1,24.4,7.4,4.0,234.5,43.8,4,35.1,LOW,0.25,0.0,LOW
18.3,41.1,74.5,122.3,204.4,24.7,77.4,999.5,40.7,6.6,3.6,145.6,96.7,5,113.5,HIGH,0.98,1.85,CRITICAL
4.0,9.1,18.2,25.8,41.1,34.1,64.6,1008.1,29.1,2.4,1.9,153.1,36.3,5,47.4,MODERATE,0.54,0.99,HIGH
3.3,7.8,14.9,22.8,32.8,30.1,64.7,1018.1,20.7,17.5,0.6,322.2,40.2,3,37.4,LOW,0.28,0.0,MODERATE
0.7,1.6,2.8,4.1,6.4,27.2,70.4,1004.7,46.1,4.9,0.4,151.8,41.5,8,66.4,MODERATE,0.51,1.11,HIGH
1.3,3.5,6.9,11.3,16.2,35.4,58.9,1018.3,41.8,2.2,2.3,393.6,39.3,5,30.2,LOW,0.28,0.0,MODERATE
3.5,7.4,14.7,28.0,49.0,29.5,79.9,982.7,58.2,4.0,2.6,1744.8,48.4,6,123.6,HIGH,0.45,1.02,HIGH
1.4,3.5,6.7,10.9,18.4,34.8,64.4,1012.0,31.8,8.8,6.4,31.0,32.2,6,58.0,MODERATE,0.4,0.55,MODERATE
4.1,9.6,18.5,35.2,54.4,32.8,63.8,1005.7,27.3,21.9,2.2,85.2,46.2,4,62.4,MODERATE,0.54,0.8,HIGH
11.9,25.5,50.5,90.5,161.4,35.5,67.4,1002.5,31.4,6.1,1.5,90.0,72.6,4,66.1,MODERATE,0.97,1.96,CRITICAL
7.9,16.9,29.9,51.0,80.2,32.2,63.8,1005.8,37.2,41.3,2.5,240.2,48.8,2,57.5,MODERATE,0.38,0.1,MODERATE
10.5,22.9,48.4,74.6,109.3,28.0,76.6,988.1,49.2,8.1,1.3,31.1,58.8,5,100.4,HIGH,0.95,1.87,CRITICAL
7.3,17.4,28.1,54.9,74.0,31.3,80.6,1003.1,34.0,9.2,0.6,261.7,50.7,6,87.7,MODERATE,0.82,1.61,CRITICAL
3.9,8.1,17.1,24.5,38.6,34.2,72.8,1008.0,27.2,6.4,0.7,1019.7,41.8,5,64.6,MODERATE,0.32,0.64,HIGH
15.0,39.6,68.9,124.9,216.2,30.4,68.1,1017.6,22.0,7.3,1.6,19.4,85.8,4,42.1,MODERATE,0.98,2.12,CRITICAL
5.9,14.0,22.3,39.5,68.5,28.5,65.9,1000.6,33.5,3.4,0.3,187.5,58.9,6,83.3,MODERATE,0.86,1.88,CRITICAL
2.7,7.2,13.7,22.9,36.6,29.0,74.3,998.1,42.3,8.3,1.2,558.7,40.5,5,93.1,HIGH,0.59,1.2,CRITICAL
1.9,3.6,6.4,9.8,14.7,24.8,65.4,1000.7,33.3,37.3,5.7,78.8,46.2,1,84.8,MODERATE,0.28,0.0,MODERATE
3.3,7.1,14.8,24.6,39.9,32.1,58.9,1012.8,20.0,23.0,1.2,45.7,43.6,3,23.6,LOW,0.29,0.0,MODERATE
3.7,7.1,12.8,24.7,41.5,26.3,61.7,1007.8,27.7,39.5,0.7,393.6,48.6,4,45.5,MODERATE,0.18,0.0,LOW
0.1,0.2,0.3,0.6,0.9,30.2,78.3,1000.5,34.1,4.0,10.7,18.8,37.6,5,72.9,MODERATE,0.41,0.88,HIGH
8.8,22.7,38.9,76.4,117.5,33.4,63.1,1009.4,40.5,12.9,3.7,630.0,62.8,6,85.9,MODERATE,0.83,1.74,CRITICAL
9.1,17.6,29.0,45.9,75.3,29.6,73.2,1005.8,27.0,6.7,0.5,41.3,54.1,4,65.2,MODERATE,0.82,1.58,CRITICAL
4.9,11.0,19.4,31.7,55.1,36.0,65.0,1013.2,20.5,25.0,0.5,297.4,47.6,3,55.1,MODERATE,0.43,0.4,MODERATE
0.8,1.6,3.0,4.2,7.2,26.2,84.8,999.0,39.9,65.3,3.6,527.1,38.8,1,98.9,HIGH,0.07,0.0,LOW
2.9,6.5,12.7,24.9,32.7,33.3,63.3,1002.2,35.5,32.4,3.0,120.3,43.3,3,59.0,MODERATE,0.29,0.0,MODERATE
24.9,64.1,122.1,195.1,265.8,31.9,77.5,1001.7,31.2,2.6,0.5,56.5,86.3,6,94.6,HIGH,0.98,2.18,CRITICAL
24.2,57.9,127.0,208.5,360.0,24.7,84.2,992.6,40.2,8.9,1.2,88.4,90.6,4,122.9,HIGH,0.98,2.11,CRITICAL
1.7,4.2,8.4,16.3,28.1,37.8,61.7,1007.5,60.2,2.5,9.6,748.0,44.4,7,71.0,MODERATE,0.33,0.55,MODERATE
1.2,2.6,5.6,9.6,14.3,30.8,71.8,1007.2,33.7,2.7,3.3,479.9,48.2,7,55.9,MODERATE,0.39,0.76,HIGH
4.2,11.2,17.8,30.9,49.3,28.5,70.2,1005.0,31.0,3.5,2.3,98.9,48.9,8,56.2,MODERATE,0.68,1.55,CRITICAL
3.2,7.9,12.2,18.4,32.3,26.9,69.0,1003.0,34.5,7.8,1.3,493.5,43.9,5,75.7,MODERATE,0.52,0.97,HIGH
11.8,26.3,45.2,76.8,134.8,28.5,74.0,993.0,42.2,8.5,0.8,483.6,74.2,6,81.6,MODERATE,0.93,1.67,CRITICAL
25.1,56.3,89.9,175.4,296.7,29.9,67.8,1001.4,34.4,11.2,2.1,2327.6,85.3,4,85.9,MODERATE,0.95,1.81,CRITICAL
4.4,11.5,21.5,37.2,52.3,30.5,81.1,1002.1,38.7,11.3,9.2,203.8,40.8,6,93.4,HIGH,0.64,1.26,CRITICAL
0.6,1.4,2.6,4.0,6.7,29.0,74.0,998.2,51.5,28.6,0.5,775.5,35.3,3,85.7,MODERATE,0.17,0.0,LOW
18.2,44.9,85.4,121.2,163.7,32.1,73.5,1003.6,30.4,4.7,16.8,239.7,85.4,5,72.9,MODERATE,0.94,1.98,CRITICAL
0.2,0.4,0.9,1.4,2.4,30.2,61.8,1008.4,38.6,5.1,1.1,881.6,41.8,5,34.7,LOW,0.14,0.0,LOW
2.7,5.7,12.5,21.7,29.8,28.0,51.9,1021.0,12.0,19.7,2.1,51.5,33.8,4,23.4,LOW,0.23,0.0,LOW
7.9,19.7,41.6,59.3,96.8,30.5,72.8,1006.5,27.8,17.3,0.5,88.2,64.9,5,62.3,MODERATE,0.82,1.55,CRITICAL
13.7,32.8,51.9,91.7,147.1,25.1,60.0,1007.2,25.5,5.0,3.4,735.8,64.5,6,43.6,MODERATE,0.81,1.82,CRITICAL
1.5,3.4,5.9,10.2,17.2,31.5,67.0,1004.4,29.2,36.4,2.6,665.1,42.0,1,70.6,MODERATE,0.13,0.0,LOW
0.5,1.2,2.1,3.9,6.2,26.0,81.7,988.7,64.0,9.2,4.1,153.5,38.7,6,117.7,HIGH,0.67,1.28,CRITICAL
4.7,9.7,15.7,22.3,29.6,31.1,69.3,1004.8,32.5,10.2,3.0,360.2,34.5,5,49.1,MODERATE,0.33,0.56,MODERATE
3.9,9.8,18.5,34.5,57.1,34.0,67.2,1005.5,27.5,11.8,2.1,198.3,55.7,4,87.2,MODERATE,0.77,1.55,CRITICAL
0.5,1.3,2.5,4.3,6.5,30.6,57.0,1022.0,35.7,9.0,5.0,18.9,45.5,5,11.7,LOW,0.21,0.0,LOW
25.3,66.1,109.7,178.0,259.9,33.1,73.3,1003.4,46.0,16.7,0.4,25.1,89.7,4,101.4,HIGH,0.98,1.9,CRITICAL
11.4,24.5,49.1,97.1,174.4,29.9,70.2,1007.6,36.0,10.9,3.0,36.2,83.7,5,88.0,MODERATE,0.98,1.98,CRITICAL
6.5,14.5,29.2,43.8,69.8,35.0,63.8,1004.7,49.4,7.4,0.7,357.6,61.6,5,73.9,MODERATE,0.78,1.71,CRITICAL
1.8,4.5,6.9,11.8,19.6,28.4,75.0,995.1,39.5,44.3,2.3,139.4,34.8,3,87.5,MODERATE,0.24,0.0,LOW
6.0,14.2,25.2,40.2,62.8,29.9,66.8,1014.7,31.9,8.6,5.8,74.1,46.8,5,26.6,LOW,0.48,0.83,HIGH
7.0,16.4,34.8,59.7,100.6,33.3,67.9,1011.4,30.2,23.6,0.8,1091.3,58.5,4,75.3,MODERATE,0.51,0.79,HIGH
1.8,4.7,8.8,15.3,25.6,30.5,56.3,1011.7,36.8,9.7,9.9,64.1,42.2,5,46.9,MODERATE,0.34,0.6,HIGH
25.4,59.1,103.1,149.9,244.1,27.5,76.4,997.3,48.0,12.3,8.0,440.9,90.2,5,86.7,MODERATE,0.98,1.9,CRITICAL
0.2,0.4,0.6,1.1,2.1,31.1,49.1,1016.9,18.6,6.8,2.2,868.4,32.8,5,32.0,LOW,0.11,0.0,LOW
3.4,6.6,11.0,19.7,30.1,28.9,78.2,993.1,51.5,27.1,0.3,83.0,41.8,2,96.0,HIGH,0.56,0.71,HIGH
0.4,0.9,1.4,2.5,4.2,34.7,74.0,1010.0,24.7,26.1,5.8,106.9,33.5,2,48.9,MODERATE,0.16,0.0,LOW
1.4,2.7,5.6,8.2,13.9,28.2,50.3,1022.0,13.2,2.4,7.7,339.1,36.4,5,2.0,LOW,0.13,0.0,LOW
8.7,23.0,35.9,56.6,84.3,29.6,71.0,996.6,36.9,3.1,1.0,284.9,54.3,5,85.6,MODERATE,0.87,1.58,CRITICAL
3.5,7.7,13.2,23.6,36.0,31.6,76.2,1000.2,54.2,48.0,9.0,294.7,41.1,0,92.0,HIGH,0.19,0.0,LOW
0.9,2.1,3.2,4.7,8.5,31.3,60.1,1005.8,29.3,41.5,8.9,322.4,27.3,3,41.2,MODERATE,0.05,0.0,LOW
0.3,0.8,1.7,3.0,4.0,33.4,68.8,1000.7,37.6,14.7,2.5,1152.6,35.0,4,68.1,MODERATE,0.11,0.0,LOW
2.2,5.2,7.9,11.4,16.7,28.7,82.0,991.8,44.8,14.2,5.9,36.0,29.8,4,139.3,HIGH,0.74,1.29,CRITICAL
3.6,8.7,14.9,23.9,36.9,30.3,64.9,1005.6,52.5,32.1,2.4,558.0,48.9,4,67.4,MODERATE,0.25,0.0,LOW
2.8,5.9,11.2,21.4,27.9,30.9,74.5,996.0,39.9,4.7,3.2,115.6,39.9,6,94.5,HIGH,0.71,1.39,CRITICAL
1.8,4.7,8.4,15.6,27.3,31.5,69.0,1009.0,35.3,21.1,1.6,192.8,41.9,3,41.9,MODERATE,0.28,0.0,MODERATE
20.6,42.0,71.3,127.3,183.7,28.6,76.8,997.2,50.9,13.6,0.9,50.5,83.7,5,82.8,MODERATE,0.98,1.84,CRITICAL
1.8,3.5,5.9,11.3,16.1,33.8,59.4,1018.2,18.5,26.5,5.1,239.2,38.2,5,40.2,MODERATE,0.15,0.0,LOW
11.5,23.7,48.7,88.9,152.1,28.1,72.1,998.3,38.0,2.6,0.3,634.7,83.1,5,96.3,HIGH,0.97,1.82,CRITICAL
0.3,0.6,1.4,2.3,3.3,28.8,72.6,1002.3,41.2,18.2,3.3,54.5,29.2,4,89.3,MODERATE,0.42,0.38,MODERATE
2.0,4.1,7.2,14.4,23.4,30.3,62.4,1011.9,39.8,16.6,7.3,137.5,33.3,4,42.0,MODERATE,0.23,0.0,LOW
7.1,17.3,26.4,47.9,82.0,32.6,79.1,994.5,49.3,35.1,1.2,192.4,58.1,3,111.8,HIGH,0.78,0.99,CRITICAL
1.2,2.4,3.7,6.5,11.1,22.9,64.5,1006.9,27.5,22.3,1.7,56.7,35.6,4,18.6,LOW,0.16,0.0,LOW
0.4,0.9,1.8,2.9,4.9,33.2,58.8,1016.1,33.6,40.2,3.4,561.0,38.2,2,35.7,LOW,0.05,0.0,LOW
21.8,43.0,81.1,157.5,211.8,28.9,74.4,991.3,45.3,41.3,1.3,602.6,93.6,1,117.7,HIGH,0.97,1.16,CRITICAL
17.5,35.3,72.3,114.0,152.7,26.7,67.1,1006.6,32.6,11.4,6.9,701.8,71.5,5,57.3,MODERATE,0.83,1.57,CRITICAL
0.4,1.0,2.0,2.8,4.1,31.8,62.7,1007.2,39.4,4.7,1.9,348.2,39.1,5,62.8,MODERATE,0.38,0.69,HIGH
1.5,4.0,8.5,12.8,16.9,32.8,57.7,1011.6,22.3,19.9,3.3,283.9,34.5,3,31.2,LOW,0.16,0.0,LOW
34.0,88.0,186.5,273.3,423.7,30.7,78.2,994.5,50.4,39.3,1.2,130.7,90.4,1,120.0,HIGH,0.98,1.29,CRITICAL
0.9,2.5,5.2,8.3,12.4,22.5,78.5,993.8,46.1,3.4,0.4,419.6,32.2,7,88.2,MODERATE,0.53,1.08,HIGH
6.2,14.9,27.3,51.8,81.8,34.7,68.9,1009.4,40.8,16.7,1.0,238.4,58.2,3,76.7,MODERATE,0.78,1.33,CRITICAL
19.9,48.5,83.2,149.0,216.0,29.2,64.4,1007.5,26.3,4.2,0.5,1357.5,89.9,6,58.5,MODERATE,0.94,1.89,CRITICAL
24.6,59.1,109.7,164.7,254.1,32.7,68.9,1007.1,29.6,2.5,2.5,1325.1,84.5,6,66.9,MODERATE,0.97,2.26,CRITICAL
4.0,9.6,17.8,33.3,48.9,32.9,68.9,1007.9,38.7,22.5,3.4,910.3,41.6,3,47.6,MODERATE,0.17,0.0,LOW
1.6,3.3,6.4,10.8,15.2,27.7,75.3,999.2,33.5,22.6,0.5,184.6,42.9,5,70.9,MODERATE,0.38,0.4,MODERATE
1.2,2.8,4.6,7.9,12.8,32.6,62.8,1007.0,26.3,18.5,0.6,189.4,36.3,4,49.7,MODERATE,0.28,0.0,MODERATE
13.4,29.6,58.0,93.8,153.4,30.1,67.3,1007.5,62.1,37.3,2.6,742.7,82.3,2,78.7,MODERATE,0.79,1.06,CRITICAL
22.4,50.6,92.1,176.7,302.9,24.7,75.2,998.9,36.2,3.5,5.9,511.3,87.3,5,84.0,MODERATE,0.98,2.14,CRITICAL
1.2,2.8,5.5,8.7,15.1,35.8,55.9,1020.9,40.9,4.0,3.8,478.1,45.7,5,25.6,LOW,0.23,0.0,LOW
5.1,10.3,17.1,25.0,41.3,29.3,54.9,1009.0,24.9,38.0,0.7,139.6,41.6,2,45.4,MODERATE,0.23,0.0,LOW
14.1,30.9,55.7,88.1,144.8,27.2,77.4,994.9,41.3,14.6,7.9,695.9,82.2,4,85.6,MODERATE,0.88,1.42,CRITICAL
7.4,14.5,23.9,43.7,58.1,30.4,75.1,1010.6,32.9,7.7,9.0,344.1,51.8,4,60.3,MODERATE,0.53,1.19,HIGH
16.5,44.2,93.3,167.4,226.8,30.2,73.3,996.7,44.4,26.1,1.7,240.0,92.0,3,94.2,HIGH,0.98,1.59,CRITICAL
4.4,8.8,16.3,24.6,42.0,31.5,59.6,1011.7,27.5,42.5,3.7,777.1,41.5,1,39.4,LOW,0.07,0.0,LOW
2.8,6.0,9.9,14.6,20.6,33.4,62.6,1014.8,23.4,23.1,2.7,205.5,44.3,4,27.5,LOW,0.19,0.0,LOW
2.6,6.7,10.3,18.5,27.3,26.4,75.6,998.0,49.4,30.3,10.3,418.2,46.3,2,82.0,MODERATE,0.23,0.0,LOW
6.9,15.7,31.0,55.9,76.7,29.9,68.0,1013.2,21.2,8.0,2.8,253.3,54.5,6,45.2,MODERATE,0.66,1.29,CRITICAL
2.9,5.7,9.5,15.4,21.5,30.9,59.4,1008.5,28.5,8.1,11.6,356.4,30.2,7,65.4,MODERATE,0.27,0.0,LOW
1.8,3.9,8.5,16.2,27.4,36.4,66.6,1012.0,21.6,37.9,1.1,30.7,37.0,1,42.1,MODERATE,0.19,0.0,LOW
2.8,5.6,10.5,20.9,29.8,32.6,58.6,1021.1,18.1,19.2,1.8,249.9,37.6,3,33.6,LOW,0.24,0.0,LOW
8.8,18.2,31.0,47.2,72.0,33.1,69.5,1002.9,31.8,6.8,5.6,324.0,57.0,6,84.9,MODERATE,0.78,1.42,CRITICAL
25.9,50.3,98.5,172.0,236.7,29.9,75.3,998.6,37.2,15.4,5.7,272.9,87.7,3,78.1,MODERATE,0.98,1.76,CRITICAL
1.9,4.2,7.1,10.0,16.4,28.4,79.7,997.4,40.2,22.8,4.9,729.4,37.3,3,81.6,MODERATE,0.2,0.0,LOW
10.5,26.7,55.3,101.2,168.3,29.1,78.4,998.1,34.7,6.4,7.2,156.6,78.5,5,105.9,HIGH,0.98,1.99,CRITICAL
1.7,4.0,6.8,11.3,16.7,30.2,63.3,1004.3,28.8,21.2,4.5,833.8,46.9,3,55.6,MODERATE,0.14,0.0,LOW
15.3,36.5,80.0,121.3,205.2,32.6,70.3,1007.9,33.7,2.8,3.8,211.3,90.2,7,65.8,MODERATE,0.98,2.11,CRITICAL
0.6,1.3,2.5,4.6,6.5,34.4,66.3,1007.4,29.5,8.5,2.4,465.6,37.8,4,59.6,MODERATE,0.29,0.0,MODERATE
